pair,family_type,assessment_family,projects,lineages,left_enabled,right_enabled,left_proportion,right_proportion,left_minus_right_percentage_points,ci_low_percentage_points,ci_high_percentage_points,cohort,observational_unit
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectProc,152,238,22,18,0.09243697478991597,0.07563025210084033,1.680672268907563,-1.4018691588785046,5.381491543084676,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectSystem,152,238,31,36,0.13025210084033614,0.15126050420168066,-2.100840336134454,-6.024096385542169,1.7094017094017095,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,RemoveIPC,152,238,22,24,0.09243697478991597,0.10084033613445378,-0.8403361344537815,-4.247309619650045,2.6200873362445414,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,RestrictAddressFamilies,152,238,36,36,0.15126050420168066,0.15126050420168066,0.0,-2.4898858921161824,2.767072902942464,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,RestrictNamespaces,152,238,34,34,0.14285714285714285,0.14285714285714285,0.0,-3.113144455252918,3.238913255360623,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,RestrictRealtime,152,238,41,44,0.1722689075630252,0.18487394957983194,-1.2605042016806722,-4.958677685950414,2.4901473983923257,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,RestrictSUIDSGID,152,238,32,34,0.13445378151260504,0.14285714285714285,-0.8403361344537815,-4.266063909850904,2.7400402161618653,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,RootDirectoryOrRootImage,152,238,0,0,0.0,0.0,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,SupplementaryGroups,152,238,82,80,0.3445378151260504,0.33613445378151263,0.8403361344537815,-1.3953488372093024,3.3495054631150434,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,SystemCallArchitectures,152,238,27,26,0.1134453781512605,0.1092436974789916,0.42016806722689076,-2.608695652173913,3.518032079589862,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,SystemCallFilter,152,238,30,31,0.12605042016806722,0.13025210084033614,-0.42016806722689076,-3.419243986254296,2.666666666666667,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,UMask,152,238,7,6,0.029411764705882353,0.025210084033613446,0.42016806722689076,0.0,1.3888888888888888,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,UserOrDynamicUser,152,238,82,80,0.3445378151260504,0.33613445378151263,0.8403361344537815,-1.3763053312476219,3.200275229357794,C1X,paired lineage
Fedora ↔ Arch,CROSS_FAMILY,AmbientCapabilities,156,258,247,243,0.9573643410852714,0.9418604651162791,1.550387596899225,-0.41841004184100417,3.937007874015748,C1X,paired lineage
Fedora ↔ Arch,CROSS_FAMILY,CapabilityBoundingSet,156,258,74,84,0.2868217054263566,0.32558139534883723,-3.875968992248062,-8.898519522404447,0.3861377989284961,C1X,paired lineage
Fedora ↔ Arch,CROSS_FAMILY,Delegate,156,258,258,258,1.0,1.0,0.0,0.0,0.0,C1X,paired lineage
Fedora ↔ Arch,CROSS_FAMILY,DeviceAllow,156,258,14,17,0.05426356589147287,0.06589147286821706,-1.1627906976744187,-4.5627770853383405,1.8659782075537756,C1X,paired lineage
Fedora ↔ Arch,CROSS_FAMILY,IPAddressDeny,156,258,10,10,0.03875968992248062,0.03875968992248062,0.0,0.0,0.0,C1X,paired lineage
