pair,family_type,assessment_family,projects,lineages,left_enabled,right_enabled,left_proportion,right_proportion,left_minus_right_percentage_points,ci_low_percentage_points,ci_high_percentage_points,cohort,observational_unit
Ubuntu ↔ Fedora,CROSS_FAMILY,UMask,239,434,8,8,0.018433179723502304,0.018433179723502304,0.0,-0.6452660242982823,0.6803107606679029,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,UserOrDynamicUser,239,434,100,108,0.2304147465437788,0.2488479262672811,-1.8433179723502304,-4.645490295778609,0.3138393545403103,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,AmbientCapabilities,152,238,223,218,0.9369747899159664,0.9159663865546218,2.100840336134454,0.0,4.471544715447155,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,CapabilityBoundingSet,152,238,85,85,0.35714285714285715,0.35714285714285715,0.0,-5.628713391871287,5.381528857631379,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,Delegate,152,238,235,235,0.9873949579831933,0.9873949579831933,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,DeviceAllow,152,238,17,19,0.07142857142857142,0.07983193277310924,-0.8403361344537815,-4.955048023229842,3.571428571428571,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,IPAddressDeny,152,238,7,7,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,KeyringMode,152,238,238,238,1.0,1.0,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,LockPersonality,152,238,34,37,0.14285714285714285,0.15546218487394958,-1.2605042016806722,-4.938688688688688,2.3622047244094486,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,MemoryDenyWriteExecute,152,238,38,39,0.15966386554621848,0.1638655462184874,-0.42016806722689076,-3.8282112624217888,3.070175438596491,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,NoNewPrivileges,152,238,50,55,0.21008403361344538,0.23109243697478993,-2.100840336134454,-6.926406926406926,2.4896265560165975,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,NotifyAccess,152,238,232,233,0.9747899159663865,0.9789915966386554,-0.42016806722689076,-1.3513513513513513,0.0,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateDevices,152,238,42,40,0.17647058823529413,0.16806722689075632,0.8403361344537815,-3.017567920585162,5.286760779602184,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateMounts,152,238,238,238,1.0,1.0,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateNetwork,152,238,13,13,0.0546218487394958,0.0546218487394958,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateTmp,152,238,56,52,0.23529411764705882,0.2184873949579832,1.680672268907563,-2.884702166064982,6.202067183462525,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,PrivateUsers,152,238,14,14,0.058823529411764705,0.058823529411764705,0.0,-2.5381786113739997,2.7274502840909065,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProcSubset,152,238,7,7,0.029411764705882353,0.029411764705882353,0.0,-1.25,1.2711864406779663,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectClock,152,238,31,28,0.13025210084033614,0.11764705882352941,1.2605042016806722,-2.118869455463397,4.780919799064611,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectControlGroups,152,238,51,47,0.21428571428571427,0.19747899159663865,1.680672268907563,-1.702127659574468,5.426567239635992,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectHome,152,238,47,47,0.19747899159663865,0.19747899159663865,0.0,-3.8965273856578198,3.896357548701295,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectHostname,152,238,35,39,0.14705882352941177,0.1638655462184874,-1.680672268907563,-5.454545454545454,2.0749049100968158,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectKernelLogs,152,238,37,37,0.15546218487394958,0.15546218487394958,0.0,-3.524229074889868,3.5436132983377036,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectKernelModules,152,238,50,45,0.21008403361344538,0.18907563025210083,2.100840336134454,-1.3395873552123552,5.936186084361859,C1X,paired lineage
Ubuntu ↔ Arch,CROSS_FAMILY,ProtectKernelTunables,152,238,49,42,0.20588235294117646,0.17647058823529413,2.941176470588235,-1.2878323393344853,7.589426989150088,C1X,paired lineage
