distribution,assessment_family,added,removed,modified,total_changed,denominator,projects,change_rate,ci_low,ci_high,analysis_classification,observational_unit
ubuntu,SystemCallFilter,0,0,0,0,315,186,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,UMask,0,0,0,0,314,185,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
ubuntu,UserOrDynamicUser,4,5,2,11,291,176,0.037800687285223365,0.016722008923938984,0.06498194945848375,derived descriptive analysis,lineage-distribution assessment family
fedora,AmbientCapabilities,1,0,0,1,347,201,0.002881844380403458,0.0,0.009708737864077669,derived descriptive analysis,lineage-distribution assessment family
fedora,CapabilityBoundingSet,3,4,0,7,355,202,0.01971830985915493,0.006268615904452192,0.03693690469013738,derived descriptive analysis,lineage-distribution assessment family
fedora,Delegate,0,0,0,0,348,201,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,DeviceAllow,1,2,0,3,347,201,0.008645533141210375,0.0,0.02054794520547945,derived descriptive analysis,lineage-distribution assessment family
fedora,IPAddressDeny,0,0,0,0,347,201,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,KeyringMode,0,0,0,0,348,202,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,LockPersonality,1,1,0,2,348,202,0.005747126436781609,0.0,0.01557632398753894,derived descriptive analysis,lineage-distribution assessment family
fedora,MemoryDenyWriteExecute,1,1,0,2,348,202,0.005747126436781609,0.0,0.0161301191200765,derived descriptive analysis,lineage-distribution assessment family
fedora,NoNewPrivileges,1,1,0,2,348,202,0.005747126436781609,0.0,0.01567398119122257,derived descriptive analysis,lineage-distribution assessment family
fedora,NotifyAccess,0,1,0,1,348,202,0.0028735632183908046,0.0,0.009741052921020336,derived descriptive analysis,lineage-distribution assessment family
fedora,PrivateDevices,1,2,0,3,348,202,0.008620689655172414,0.0,0.020480009124647924,derived descriptive analysis,lineage-distribution assessment family
fedora,PrivateMounts,0,0,0,0,347,201,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,PrivateNetwork,0,0,0,0,347,201,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,PrivateTmp,2,1,2,5,348,202,0.014367816091954023,0.0029759696905468417,0.02976190476190476,derived descriptive analysis,lineage-distribution assessment family
fedora,PrivateUsers,0,0,0,0,347,201,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,ProcSubset,0,0,0,0,347,201,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,ProtectClock,1,0,0,1,348,202,0.0028735632183908046,0.0,0.01020408163265306,derived descriptive analysis,lineage-distribution assessment family
fedora,ProtectControlGroups,2,2,0,4,349,202,0.011461318051575931,0.0024271844660194173,0.024539877300613498,derived descriptive analysis,lineage-distribution assessment family
fedora,ProtectHome,3,1,1,5,349,202,0.014326647564469915,0.0029154518950437317,0.028653523260270472,derived descriptive analysis,lineage-distribution assessment family
fedora,ProtectHostname,1,0,0,1,349,202,0.0028653295128939827,0.0,0.010309278350515464,derived descriptive analysis,lineage-distribution assessment family
fedora,ProtectKernelLogs,0,0,0,0,349,202,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,ProtectKernelModules,2,2,0,4,349,202,0.011461318051575931,0.0024390243902439024,0.024922334118621686,derived descriptive analysis,lineage-distribution assessment family
