distribution,assessment_family,enabled,lineages,projects,proportion,ci_low,ci_high,cohort,observational_unit
fedora,ProtectKernelModules,71,556,313,0.12769784172661872,0.09368050673124495,0.1635378712177526,C1X,lineage-distribution
fedora,ProtectKernelTunables,58,556,313,0.10431654676258993,0.0743780908759003,0.1375887397464578,C1X,lineage-distribution
fedora,ProtectProc,29,556,313,0.052158273381294966,0.023206751054852322,0.07810229318248983,C1X,lineage-distribution
fedora,ProtectSystem,49,556,313,0.08812949640287769,0.06220533898086876,0.11948685320250878,C1X,lineage-distribution
fedora,RemoveIPC,23,556,313,0.04136690647482014,0.018404907975460124,0.07407407407407407,C1X,lineage-distribution
fedora,RestrictAddressFamilies,71,556,313,0.12769784172661872,0.0824275870868955,0.16575669389242606,C1X,lineage-distribution
fedora,RestrictNamespaces,58,556,313,0.10431654676258993,0.06526305687443176,0.13804173354735153,C1X,lineage-distribution
fedora,RestrictRealtime,76,556,313,0.1366906474820144,0.09108851674641148,0.17616602044719545,C1X,lineage-distribution
fedora,RestrictSUIDSGID,54,556,313,0.09712230215827339,0.054346124171734594,0.1320018867924528,C1X,lineage-distribution
fedora,RootDirectoryOrRootImage,0,556,313,0.0,0.0,0.0,C1X,lineage-distribution
fedora,SupplementaryGroups,130,556,313,0.23381294964028776,0.17377301631553096,0.3084910146849015,C1X,lineage-distribution
fedora,SystemCallArchitectures,56,556,313,0.10071942446043165,0.054407476139978796,0.14634246630295247,C1X,lineage-distribution
fedora,SystemCallFilter,52,556,313,0.09352517985611511,0.05528661809815951,0.12737734339445364,C1X,lineage-distribution
fedora,UMask,12,556,313,0.02158273381294964,0.0087167686393416,0.03926176399860251,C1X,lineage-distribution
fedora,UserOrDynamicUser,135,556,313,0.24280575539568344,0.1846829521829522,0.31529308968921327,C1X,lineage-distribution
ubuntu,AmbientCapabilities,502,525,302,0.9561904761904761,0.9349112426035503,0.9750482022623509,C1X,lineage-distribution
ubuntu,CapabilityBoundingSet,135,525,302,0.2571428571428571,0.20914839308504468,0.3148148148148148,C1X,lineage-distribution
ubuntu,Delegate,519,525,302,0.9885714285714285,0.9771983874363707,0.9976744186046511,C1X,lineage-distribution
ubuntu,DeviceAllow,37,525,302,0.07047619047619047,0.0486319725310725,0.09843454432380606,C1X,lineage-distribution
ubuntu,IPAddressDeny,22,525,302,0.0419047619047619,0.009803322306917878,0.0728774490971955,C1X,lineage-distribution
