distribution,name,version,architecture,source_name,source_version,homepage,canonical_upstream_id,filename,artifact_url,artifact_sha256,component
debian,bacula-director,15.0.3-3,amd64,bacula,15.0.3-3,https://www.bacula.org/,https://www.bacula.org,pool/main/b/bacula/bacula-director_15.0.3-3_amd64.deb,https://deb.debian.org/debian/pool/main/b/bacula/bacula-director_15.0.3-3_amd64.deb,ec1f685f75404382a553885ea7beb619c9e4fd0b87feba1d3acea0e3de143a39,main
debian,bacula-fd,15.0.3-3,amd64,bacula,15.0.3-3,https://www.bacula.org/,https://www.bacula.org,pool/main/b/bacula/bacula-fd_15.0.3-3_amd64.deb,https://deb.debian.org/debian/pool/main/b/bacula/bacula-fd_15.0.3-3_amd64.deb,f0a815115305dc8414b34cfc473af5ecb9308cf7bcc4f6d8c2f400cca6930e49,main
debian,bacula-sd,15.0.3-3,amd64,bacula,15.0.3-3,https://www.bacula.org/,https://www.bacula.org,pool/main/b/bacula/bacula-sd_15.0.3-3_amd64.deb,https://deb.debian.org/debian/pool/main/b/bacula/bacula-sd_15.0.3-3_amd64.deb,53f9468815326bed1b016b468df6fd7fadb3d16ca9a8c83eaf0760b699b397f2,main
debian,balboa,2.0.0+ds-7+b1,amd64,balboa,2.0.0+ds-7,https://github.com/DCSO/balboa,https://github.com/DCSO/balboa,pool/main/b/balboa/balboa_2.0.0+ds-7+b1_amd64.deb,https://deb.debian.org/debian/pool/main/b/balboa/balboa_2.0.0+ds-7+b1_amd64.deb,7f03097c3cc1cd47ceeb1172e1d9fe7c4721a2b8f26ff905f42094624008ee21,main
debian,balboa-backend-common,2.0.0+ds-7+b1,amd64,balboa,2.0.0+ds-7,https://github.com/DCSO/balboa,https://github.com/DCSO/balboa,pool/main/b/balboa/balboa-backend-common_2.0.0+ds-7+b1_amd64.deb,https://deb.debian.org/debian/pool/main/b/balboa/balboa-backend-common_2.0.0+ds-7+b1_amd64.deb,0acb071ddaa1aca56e56c56d796ddcb1162d59966c51ea081e575317e94f0adf,main
debian,bandwidthd,2.0.1+cvs20090917-18,amd64,bandwidthd,2.0.1+cvs20090917-18,http://bandwidthd.sourceforge.net/,https://bandwidthd.sourceforge.net,pool/main/b/bandwidthd/bandwidthd_2.0.1+cvs20090917-18_amd64.deb,https://deb.debian.org/debian/pool/main/b/bandwidthd/bandwidthd_2.0.1+cvs20090917-18_amd64.deb,7f297e46b6124dc1ce5eac5dec326ff1ae34d700ef6031926138c354344d8edc,main
debian,bandwidthd-pgsql,2.0.1+cvs20090917-18,amd64,bandwidthd,2.0.1+cvs20090917-18,http://bandwidthd.sourceforge.net/,https://bandwidthd.sourceforge.net,pool/main/b/bandwidthd/bandwidthd-pgsql_2.0.1+cvs20090917-18_amd64.deb,https://deb.debian.org/debian/pool/main/b/bandwidthd/bandwidthd-pgsql_2.0.1+cvs20090917-18_amd64.deb,71c51a8294e4789eed5f811b95491d4b015617044d7cc4915d2d3fcbde0e6558,main
debian,batmand,0.3.2+74+g2f62b17-2,amd64,batmand,0.3.2+74+g2f62b17-2,https://www.open-mesh.org/,https://www.open-mesh.org,pool/main/b/batmand/batmand_0.3.2+74+g2f62b17-2_amd64.deb,https://deb.debian.org/debian/pool/main/b/batmand/batmand_0.3.2+74+g2f62b17-2_amd64.deb,31cd65e3596cc64f7d0bb5c248f382f5dea1edc672e2ae15b0a05f97d08ea945,main
debian,battery-stats,0.5.6-2.1,amd64,battery-stats,0.5.6-2.1,https://github.com/petterreinholdtsen/battery-stats/,https://github.com/petterreinholdtsen/battery-stats,pool/main/b/battery-stats/battery-stats_0.5.6-2.1_amd64.deb,https://deb.debian.org/debian/pool/main/b/battery-stats/battery-stats_0.5.6-2.1_amd64.deb,a22353a0a61e67e0b7bb49537a0cbc3bb34cb7925b391775a05485b4b8bb8329,main
debian,bcron,0.11-23,amd64,bcron,0.11-23,https://untroubled.org/bcron,https://untroubled.org/bcron,pool/main/b/bcron/bcron_0.11-23_amd64.deb,https://deb.debian.org/debian/pool/main/b/bcron/bcron_0.11-23_amd64.deb,6b334ff4c4cc12d77f5ff9f14a5b61f81256c5f69bc9af69be77b05e7b20bced,main
debian,beanstalkd,1.13-1,amd64,beanstalkd,1.13-1,https://github.com/beanstalkd/beanstalkd,https://github.com/beanstalkd/beanstalkd,pool/main/b/beanstalkd/beanstalkd_1.13-1_amd64.deb,https://deb.debian.org/debian/pool/main/b/beanstalkd/beanstalkd_1.13-1_amd64.deb,829a1b80a2a6b635dbb19173cad9298f398822325e23894e9a1b96f2269a0789,main
debian,bettercap,2.33.0-1+b9,amd64,bettercap,2.33.0-1,https://www.bettercap.org,https://www.bettercap.org,pool/main/b/bettercap/bettercap_2.33.0-1+b9_amd64.deb,https://deb.debian.org/debian/pool/main/b/bettercap/bettercap_2.33.0-1+b9_amd64.deb,b7e8f2343b6c2f053eefd966a339d82ec4161c973358d46991d3207cacb3f61d,main
debian,bibledit-cloud,5.1.023-1+b2,amd64,bibledit-cloud,5.1.023-1,http://bibledit.org,https://bibledit.org,pool/main/b/bibledit-cloud/bibledit-cloud_5.1.023-1+b2_amd64.deb,https://deb.debian.org/debian/pool/main/b/bibledit-cloud/bibledit-cloud_5.1.023-1+b2_amd64.deb,9450e6f18595c5b3c492d70e54148d68918d568501d988a84f5c124c5175c0ee,main
