entity_type,entity_id,stage,reason_code,technical_detail
upstream_artifact,debian:https://sourceforge.net/projects/minidlna::minidlnad,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://sourceforge.net/projects/rpcbind::rpcbind,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://sourceware.org/lvm2::dmeventd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=11, executable_candidates=2"
upstream_artifact,debian:https://sourceware.org/lvm2::true,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=11, executable_candidates=2"
upstream_artifact,debian:https://systemd.io::systemd-fsck,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=8
upstream_artifact,debian:https://systemd.io::systemd-machined,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://systemd.io::systemd-remount-fs,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=3
upstream_artifact,debian:https://systemd.io::systemd-resolved,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://systemd.io::upstream-unit::units/systemd-exit.service,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://systemd.io::upstream-unit::units/systemd-tmpfiles-clean.service,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://systemd.io::upstream-unit::units/systemd-tmpfiles-setup.service,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://tetrinetx.sourceforge.net::tetrinetx,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://trousers.sourceforge.net::tcsd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://unix4lyfe.org/darkstat::darkstat,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://upower.freedesktop.org::upowerd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://valkey.io::valkey-sentinel,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=2, executable_candidates=0"
upstream_artifact,debian:https://valkey.io::valkey-server,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=2, executable_candidates=2"
upstream_artifact,debian:https://w1.fi/wpa_supplicant::hostapd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=2, executable_candidates=0"
upstream_artifact,debian:https://web.mit.edu/kerberos::kadmind,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://web.mit.edu/kerberos::kpropd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://web.mit.edu/kerberos::krb5kdc,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.anope.org::anope,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.apcupsd.org::apcupsd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.conserver.com::conserver,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.cyrusimap.org/sasl::saslauthd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.cyrusimap.org::cyrmaster,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.ejabberd.im::sh,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.erlang.org::epmd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.exim.org::exim4-base,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.eyrie.org/~eagle/software/inn::rc.news,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.freedesktop.org/wiki/Software/fprint/fprintd::fprintd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://www.freedesktop.org/wiki/Software/udisks::udisksd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://www.gnu.org/software/acct::accton,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.gnu.org/software/freeipmi::bmc-watchdog,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://www.gnu.org/software/freeipmi::ipmidetectd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://www.gnu.org/software/freeipmi::ipmiseld,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://www.gnu.org/software/inetutils::inetutils-inetd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.gnu.org/software/inetutils::syslogd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.imapproxy.org::imapproxyd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
upstream_artifact,debian:https://www.isc.org/downloads/bind::sh,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.kernel.org::hv_kvp_daemon,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=1, executable_candidates=0"
upstream_artifact,debian:https://www.kernel.org::hv_vss_daemon,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,"no unique upstream artifact; candidates=1, executable_candidates=0"
upstream_artifact,debian:https://www.knot-dns.cz::knotd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=3
upstream_artifact,debian:https://www.lighttpd.net::upstream-unit::doc/systemd/lighttpd.service,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://www.litech.org/radvd::radvd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://www.luanti.org::luantiserver,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.musicpd.org/clients/mpdscribble::mpdscribble,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://www.musicpd.org::mpd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,ambiguous exact artifacts=2
upstream_artifact,debian:https://www.netfilter.org/projects/ulogd::ulogd,upstream_recovery,U4_NO_UPSTREAM_UNIT,complete pristine orig-tar inventory contained no service unit or template
upstream_artifact,debian:https://www.netfilter.org/projects/ulogd::ulogd,upstream_recovery,U5_AMBIGUOUS_OR_UNRESOLVED,pristine source unavailable
