pair,family_type,left_distribution,right_distribution,lineage_id,project,different_dimensions,comparable_dimensions,disagreement_proportion,differing,cohort
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/rfjakob/earlyoom::earlyoom,https://github.com/rfjakob/earlyoom,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/rpodgorny/uptimed::uptimed,https://github.com/rpodgorny/uptimed,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/sddm/sddm::sddm,https://github.com/sddm/sddm,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/skeeto/endlessh::endlessh,https://github.com/skeeto/endlessh,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/snapcore/snapd::snapd,https://github.com/snapcore/snapd,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/snapcore/snapd::snapd-apparmor,https://github.com/snapcore/snapd,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/systemd/systemd-bootchart::systemd-bootchart,https://github.com/systemd/systemd-bootchart,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/trojan-gfw/trojan::trojan,https://github.com/trojan-gfw/trojan,3,81,0.037037037037037035,True,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/vmatare/thinkfan::thinkfan,https://github.com/vmatare/thinkfan,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/vmatare/thinkfan::upstream-unit::rcscripts/systemd/thinkfan-wakeup.service,https://github.com/vmatare/thinkfan,0,81,0.0,False,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/vmware/open-vm-tools::VGAuthService,https://github.com/vmware/open-vm-tools,4,81,0.04938271604938271,True,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/vmware/open-vm-tools::vmtoolsd,https://github.com/vmware/open-vm-tools,4,81,0.04938271604938271,True,C1X
Debian ↔ Fedora,CROSS_FAMILY,debian,fedora,https://github.com/wb2osz/direwolf::direwolf,https://github.com/wb2osz/direwolf,3,81,0.037037037037037035,True,C1X
